                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                 2.1778,                 1.7806,                0.96389,                0.34241,                0.35422,                0.28159,                0.09735,                 2.2993,                 1.8747,                0.98204,               0.007723,               0.007723,               0.007723
                    117,                 2.1688,                 1.7775,                0.95903,                0.31038,                0.37418,                0.27535,                0.09429,                 2.3183,                 1.9141,                0.98726,              0.0077032,              0.0077032,              0.0077032
                    118,                   2.17,                 1.7683,                 0.9656,                0.31017,                0.37715,                 0.2722,                0.09555,                  2.309,                 1.8769,                0.98426,              0.0076834,              0.0076834,              0.0076834
                    119,                 2.1677,                 1.7618,                0.96189,                0.34063,                 0.3578,                0.29614,                0.10325,                 2.2936,                 1.8855,                0.98031,              0.0076636,              0.0076636,              0.0076636
                    120,                 2.1613,                 1.7534,                0.96515,                0.29718,                0.37279,                0.26582,                0.09435,                 2.3022,                 1.8964,                0.98322,              0.0076438,              0.0076438,              0.0076438
                    121,                  2.166,                 1.7571,                0.96758,                0.35824,                0.37902,                0.29634,                0.10306,                 2.3149,                 1.8891,                0.98111,               0.007624,               0.007624,               0.007624
                    122,                 2.1494,                 1.7245,                0.96041,                0.34003,                0.38696,                0.28216,                0.09527,                 2.3465,                  1.892,                0.98754,              0.0076042,              0.0076042,              0.0076042
                    123,                 2.1589,                 1.7326,                0.95825,                0.38363,                0.33781,                 0.2988,                0.10323,                 2.2968,                 1.8919,                 0.9801,              0.0075844,              0.0075844,              0.0075844
                    124,                 2.1601,                 1.7505,                0.96202,                0.35837,                0.36602,                0.30029,                0.10408,                 2.3143,                  1.861,                0.98282,              0.0075646,              0.0075646,              0.0075646
                    125,                 2.1579,                 1.7429,                0.96193,                0.34774,                0.36782,                 0.2973,                0.10011,                  2.315,                 1.9025,                0.98254,              0.0075448,              0.0075448,              0.0075448
                    126,                 2.1606,                 1.7405,                0.96582,                0.31865,                0.36558,                0.28681,                0.09932,                 2.3166,                 1.8908,                 0.9836,               0.007525,               0.007525,               0.007525
                    127,                  2.151,                  1.719,                0.96016,                0.32705,                0.36851,                0.29309,                0.10121,                 2.3041,                  1.877,                0.97941,              0.0075052,              0.0075052,              0.0075052
                    128,                 2.1616,                 1.7332,                0.96094,                0.33323,                0.39198,                0.28749,                0.09967,                 2.3197,                 1.8793,                0.98399,              0.0074854,              0.0074854,              0.0074854
                    129,                 2.1556,                 1.7306,                0.96274,                0.36935,                0.34293,                0.28436,                0.09613,                 2.3306,                 1.8934,                0.98608,              0.0074656,              0.0074656,              0.0074656
                    130,                 2.1492,                 1.7242,                0.95902,                0.37082,                0.37344,                0.28503,                0.09965,                 2.3063,                 1.8941,                0.98522,              0.0074458,              0.0074458,              0.0074458
                    131,                 2.1515,                 1.7259,                0.96438,                0.34866,                0.37107,                 0.2852,                 0.0933,                 2.3056,                 1.9066,                0.98484,               0.007426,               0.007426,               0.007426
                    132,                 2.1385,                 1.6972,                0.95883,                0.37156,                0.36024,                0.30258,                0.10717,                 2.3057,                 1.8865,                0.98099,              0.0074062,              0.0074062,              0.0074062
                    133,                 2.1441,                  1.719,                0.96105,                0.35146,                0.37091,                0.28274,                0.10114,                 2.3215,                 1.8908,                0.98585,              0.0073864,              0.0073864,              0.0073864
                    134,                  2.147,                 1.7093,                  0.968,                0.36482,                0.35541,                  0.292,                0.10112,                  2.316,                 1.9112,                0.98675,              0.0073666,              0.0073666,              0.0073666
                    135,                 2.1429,                 1.7159,                0.96344,                0.34503,                0.36928,                0.28354,                0.09933,                 2.3218,                 1.8973,                0.98461,              0.0073468,              0.0073468,              0.0073468
                    136,                 2.1463,                 1.7007,                0.95933,                0.35099,                0.34472,                0.28149,                0.10131,                  2.346,                  1.913,                0.99082,               0.007327,               0.007327,               0.007327
                    137,                 2.1424,                 1.6933,                0.96107,                0.34039,                0.36472,                0.28486,                0.10076,                 2.3388,                  1.885,                0.98957,              0.0073072,              0.0073072,              0.0073072
                    138,                 2.1424,                 1.7073,                0.96222,                0.38591,                0.35724,                0.29452,                 0.1017,                  2.323,                 1.8795,                0.98713,              0.0072874,              0.0072874,              0.0072874
                    139,                 2.1419,                 1.7173,                0.95678,                 0.3608,                0.36459,                  0.304,                0.10591,                 2.3192,                 1.8621,                 0.9841,              0.0072676,              0.0072676,              0.0072676
                    140,                 2.1327,                 1.6953,                0.95753,                0.32703,                0.35994,                0.28282,                0.09895,                 2.3467,                 1.8846,                0.99003,              0.0072478,              0.0072478,              0.0072478
                    141,                 2.1256,                 1.6861,                0.95967,                 0.3198,                0.40534,                0.29928,                0.10595,                 2.3334,                  1.878,                0.98739,               0.007228,               0.007228,               0.007228
                    142,                 2.1388,                 1.6853,                0.96451,                0.36801,                0.37428,                0.29502,                0.10428,                 2.3026,                 1.8749,                0.98468,              0.0072082,              0.0072082,              0.0072082
                    143,                 2.1285,                 1.6689,                0.95456,                0.35306,                0.37614,                 0.2771,                0.09744,                 2.3043,                 1.8698,                0.98214,              0.0071884,              0.0071884,              0.0071884
                    144,                 2.1294,                 1.6796,                 0.9561,                0.33545,                0.37028,                0.28504,                0.09965,                 2.3029,                 1.8766,                0.98336,              0.0071686,              0.0071686,              0.0071686
                    145,                 2.1233,                 1.6703,                0.95751,                0.35936,                0.38414,                 0.2887,                0.09689,                 2.2993,                 1.8753,                0.98578,              0.0071488,              0.0071488,              0.0071488
                    146,                 2.1117,                 1.6728,                0.95753,                0.31975,                0.39227,                0.27457,                0.09692,                 2.3018,                 1.8824,                0.98465,               0.007129,               0.007129,               0.007129
                    147,                 2.1299,                 1.6498,                0.95917,                0.37643,                0.36691,                0.29358,                0.10324,                   2.32,                 1.8663,                0.98546,              0.0071092,              0.0071092,              0.0071092
                    148,                 2.1192,                 1.6656,                0.95804,                0.34707,                 0.3815,                0.28185,                0.10138,                 2.3192,                 1.8732,                0.98828,              0.0070894,              0.0070894,              0.0070894
                    149,                 2.1218,                 1.6597,                0.95757,                0.34401,                0.39559,                0.28882,                0.10452,                 2.3013,                 1.8671,                0.98916,              0.0070696,              0.0070696,              0.0070696
                    150,                 2.1188,                 1.6543,                0.95455,                0.35204,                 0.3851,                0.28941,                0.10164,                 2.2967,                 1.8673,                0.98455,              0.0070498,              0.0070498,              0.0070498
                    151,                 2.1104,                 1.6453,                 0.9565,                0.35647,                  0.382,                 0.2863,                0.09639,                 2.3319,                 1.8792,                 0.9877,                0.00703,                0.00703,                0.00703
                    152,                 2.1256,                  1.664,                0.96551,                0.34047,                0.40294,                 0.2843,                0.09601,                 2.3108,                 1.8635,                0.98359,              0.0070102,              0.0070102,              0.0070102
                    153,                 2.1136,                 1.6546,                0.95386,                0.34138,                0.37428,                 0.2697,                0.09628,                 2.3165,                 1.8675,                0.98678,              0.0069904,              0.0069904,              0.0069904
                    154,                 2.1143,                 1.6428,                0.95712,                0.36612,                0.39265,                0.27897,                0.09612,                 2.3156,                 1.8777,                0.98799,              0.0069706,              0.0069706,              0.0069706
                    155,                  2.108,                 1.6438,                0.95037,                0.36115,                0.38118,                0.27519,                  0.095,                 2.3116,                 1.8784,                0.98772,              0.0069508,              0.0069508,              0.0069508
                    156,                 2.1122,                 1.6394,                0.95782,                0.33018,                0.39999,                 0.2652,                 0.0908,                 2.3161,                 1.8701,                0.98819,               0.006931,               0.006931,               0.006931
                    157,                 2.0954,                 1.6099,                 0.9574,                0.33561,                0.37844,                0.27052,                0.08975,                   2.34,                  1.885,                0.99172,              0.0069112,              0.0069112,              0.0069112
                    158,                 2.0897,                 1.6145,                0.95226,                0.34206,                0.38996,                0.27609,                0.09491,                 2.3306,                 1.8805,                0.98707,              0.0068914,              0.0068914,              0.0068914
                    159,                 2.1102,                 1.6389,                0.95262,                0.35999,                0.36097,                0.27351,                0.09081,                 2.3352,                 1.8766,                0.98761,              0.0068716,              0.0068716,              0.0068716
                    160,                 2.1171,                 1.6395,                0.95688,                0.35563,                0.33454,                0.26765,                0.09397,                 2.3207,                 1.8623,                0.98684,              0.0068518,              0.0068518,              0.0068518
                    161,                 2.1065,                 1.6336,                0.95265,                0.33784,                0.36799,                0.28073,                0.09973,                 2.3498,                 1.8676,                0.99269,               0.006832,               0.006832,               0.006832
                    162,                 2.1016,                  1.611,                0.95155,                0.38907,                0.34708,                0.28665,                0.09671,                 2.3393,                 1.8691,                0.99258,              0.0068122,              0.0068122,              0.0068122
                    163,                 2.0978,                 1.6118,                 0.9513,                0.36108,                0.37511,                0.28424,                0.09865,                 2.3158,                 1.8578,                0.98718,              0.0067924,              0.0067924,              0.0067924
                    164,                 2.1027,                 1.6106,                0.95612,                0.36313,                0.37576,                0.28793,                0.09947,                 2.3211,                  1.865,                0.98966,              0.0067726,              0.0067726,              0.0067726
                    165,                 2.1042,                 1.6003,                0.95179,                0.35427,                0.39118,                 0.2784,                0.09549,                 2.3325,                 1.9077,                0.98962,              0.0067528,              0.0067528,              0.0067528
                    166,                 2.0956,                 1.6062,                0.95451,                0.32344,                0.37475,                 0.2662,                0.08809,                  2.334,                 1.9031,                   0.99,               0.006733,               0.006733,               0.006733
                    167,                  2.097,                 1.6046,                0.95591,                0.33895,                0.37523,                 0.2717,                0.09473,                 2.3197,                 1.8934,                0.98845,              0.0067132,              0.0067132,              0.0067132
                    168,                  2.083,                 1.5706,                0.94836,                0.33732,                0.37667,                0.27408,                0.09321,                 2.3289,                 1.9006,                0.99051,              0.0066934,              0.0066934,              0.0066934
                    169,                 2.0901,                 1.5833,                 0.9558,                0.33697,                0.39161,                0.28089,                0.09811,                 2.3242,                 1.8858,                 0.9928,              0.0066736,              0.0066736,              0.0066736
                    170,                 2.0935,                 1.5879,                0.95218,                0.34333,                0.39446,                0.28988,                0.10356,                 2.3302,                 1.8784,                0.99022,              0.0066538,              0.0066538,              0.0066538
                    171,                  2.092,                 1.5806,                0.94971,                0.32024,                0.40405,                0.27193,                 0.0941,                 2.3438,                 1.8988,                0.99257,               0.006634,               0.006634,               0.006634
                    172,                 2.0746,                 1.5793,                0.95347,                0.31612,                 0.4132,                0.26392,                0.08867,                 2.3335,                 1.9025,                0.99209,              0.0066142,              0.0066142,              0.0066142
                    173,                  2.089,                 1.5766,                0.95523,                0.33314,                0.40393,                0.28212,                0.09679,                 2.3479,                 1.8932,                0.99544,              0.0065944,              0.0065944,              0.0065944
                    174,                 2.0746,                  1.568,                0.94554,                0.32183,                0.39229,                0.27006,                0.09229,                 2.3362,                 1.8884,                0.99487,              0.0065746,              0.0065746,              0.0065746
                    175,                 2.0776,                  1.553,                0.95188,                0.34615,                0.36898,                0.28077,                0.09568,                 2.3608,                  1.901,                 0.9955,              0.0065548,              0.0065548,              0.0065548
                    176,                 2.0839,                  1.581,                0.94592,                0.33119,                0.38055,                0.27627,                0.09354,                 2.3475,                 1.8961,                0.99319,               0.006535,               0.006535,               0.006535
                    177,                  2.088,                 1.5842,                0.94734,                0.35785,                0.36056,                0.28413,                0.09655,                 2.3414,                 1.9108,                0.99165,              0.0065152,              0.0065152,              0.0065152
                    178,                  2.056,                 1.5615,                0.94793,                0.33947,                0.38041,                0.27371,                0.09535,                 2.3463,                 1.8995,                 0.9944,              0.0064954,              0.0064954,              0.0064954
                    179,                 2.0782,                 1.5704,                0.95256,                0.36028,                 0.3592,                0.28038,                0.09752,                 2.3658,                 1.9095,                0.99563,              0.0064756,              0.0064756,              0.0064756
                    180,                 2.0774,                 1.5606,                0.95094,                0.37619,                0.37632,                0.28959,                 0.0964,                 2.3622,                 1.9149,                0.99508,              0.0064558,              0.0064558,              0.0064558
                    181,                 2.0537,                 1.5351,                0.94606,                0.36157,                0.37571,                 0.2737,                0.09304,                 2.3683,                 1.9236,                0.99824,               0.006436,               0.006436,               0.006436
                    182,                 2.0787,                 1.5667,                0.95193,                0.33146,                0.39549,                0.27825,                0.09361,                 2.3722,                 1.9223,                0.99975,              0.0064162,              0.0064162,              0.0064162
                    183,                 2.0605,                 1.5361,                0.95166,                0.35772,                0.36682,                0.28077,                 0.0974,                 2.3658,                 1.8967,                0.99934,              0.0063964,              0.0063964,              0.0063964
                    184,                 2.0697,                 1.5602,                0.94633,                0.37273,                0.36535,                0.28094,                0.09985,                 2.3519,                 1.9245,                 0.9986,              0.0063766,              0.0063766,              0.0063766
                    185,                 2.0659,                 1.5463,                0.94538,                0.33707,                0.35877,                 0.2745,                0.09426,                  2.362,                 1.9178,                0.99953,              0.0063568,              0.0063568,              0.0063568
                    186,                 2.0585,                 1.5394,                0.94734,                0.33994,                0.37125,                  0.268,                0.09188,                 2.3697,                 1.9276,                 1.0002,               0.006337,               0.006337,               0.006337
                    187,                 2.0677,                 1.5335,                0.94634,                0.33471,                0.39383,                0.26979,                0.09284,                 2.3678,                 1.9387,                 1.0004,              0.0063172,              0.0063172,              0.0063172
                    188,                 2.0591,                 1.5376,                0.94855,                0.34369,                0.38273,                0.26796,                0.08992,                 2.3776,                 1.9326,                 1.0016,              0.0062974,              0.0062974,              0.0062974
                    189,                 2.0608,                 1.5404,                0.94772,                0.34937,                0.37921,                0.26976,                0.08898,                 2.3799,                 1.9197,                 1.0024,              0.0062776,              0.0062776,              0.0062776
                    190,                 2.0523,                 1.5301,                0.94465,                 0.3365,                0.35877,                0.25961,                0.08826,                 2.3979,                 1.9278,                  1.005,              0.0062578,              0.0062578,              0.0062578
                    191,                 2.0478,                 1.5217,                0.94589,                0.32185,                0.39333,                0.26423,                0.08948,                 2.3967,                  1.935,                 1.0033,               0.006238,               0.006238,               0.006238
                    192,                 2.0551,                 1.5131,                0.94764,                0.32001,                0.36254,                0.26376,                0.09194,                 2.3886,                 1.9263,                 1.0012,              0.0062182,              0.0062182,              0.0062182
                    193,                 2.0446,                 1.5088,                0.94283,                0.35858,                0.33871,                0.26927,                0.09427,                 2.3994,                 1.9233,                 1.0034,              0.0061984,              0.0061984,              0.0061984
                    194,                 2.0398,                 1.5165,                0.93888,                0.34389,                0.34125,                0.26452,                0.09243,                 2.3851,                 1.9401,                 1.0021,              0.0061786,              0.0061786,              0.0061786
                    195,                  2.052,                 1.5026,                 0.9508,                 0.3264,                0.35668,                0.25583,                0.08815,                 2.3832,                 1.9351,                 1.0046,              0.0061588,              0.0061588,              0.0061588
                    196,                 2.0452,                 1.5168,                0.94882,                0.34347,                0.34504,                0.25355,                0.08493,                  2.386,                 1.9399,                 1.0051,               0.006139,               0.006139,               0.006139
                    197,                 2.0463,                 1.5074,                0.94105,                 0.3384,                0.34928,                0.26143,                0.08755,                 2.3975,                 1.9361,                  1.008,              0.0061192,              0.0061192,              0.0061192
                    198,                 2.0383,                 1.4822,                0.94622,                0.31957,                0.37717,                0.26297,                0.09083,                 2.3897,                 1.9434,                 1.0068,              0.0060994,              0.0060994,              0.0060994
                    199,                 2.0395,                 1.4844,                0.94512,                0.34504,                 0.3501,                 0.2615,                 0.0885,                 2.3836,                  1.934,                 1.0053,              0.0060796,              0.0060796,              0.0060796
                    200,                 2.0456,                  1.505,                0.94352,                0.36128,                0.34124,                0.26272,                0.09041,                 2.3766,                 1.9359,                  1.005,              0.0060598,              0.0060598,              0.0060598
                    201,                 2.0335,                 1.4839,                0.94812,                0.33215,                0.35774,                0.26362,                0.08917,                 2.3939,                 1.9276,                 1.0076,                0.00604,                0.00604,                0.00604
                    202,                 2.0152,                 1.4871,                0.94434,                0.34881,                0.36617,                0.26981,                0.09133,                 2.3847,                 1.9193,                 1.0046,              0.0060202,              0.0060202,              0.0060202
                    203,                 2.0295,                  1.477,                0.94184,                0.35159,                0.37088,                0.26826,                0.09008,                 2.3863,                 1.9189,                 1.0042,              0.0060004,              0.0060004,              0.0060004
                    204,                 2.0424,                 1.4901,                 0.9439,                0.34044,                0.36081,                  0.266,                0.09204,                 2.3853,                  1.934,                 1.0044,              0.0059806,              0.0059806,              0.0059806
                    205,                  2.035,                 1.4982,                0.94396,                0.34471,                0.36692,                0.26476,                0.09044,                 2.3969,                 1.9387,                 1.0081,              0.0059608,              0.0059608,              0.0059608
                    206,                 2.0296,                 1.4755,                 0.9438,                0.36015,                0.34486,                 0.2601,                 0.0892,                 2.4018,                 1.9446,                 1.0101,               0.005941,               0.005941,               0.005941
                    207,                 2.0368,                 1.5022,                0.94366,                0.36198,                0.36591,                0.26181,                0.08702,                 2.3922,                 1.9381,                 1.0087,              0.0059212,              0.0059212,              0.0059212
                    208,                 2.0203,                 1.4754,                0.93828,                0.40724,                0.35209,                0.27494,                0.09002,                  2.391,                 1.9279,                 1.0076,              0.0059014,              0.0059014,              0.0059014
                    209,                 2.0183,                 1.4601,                 0.9404,                0.38377,                0.37414,                0.26934,                0.08873,                 2.3925,                 1.9275,                 1.0075,              0.0058816,              0.0058816,              0.0058816
                    210,                 2.0167,                 1.4641,                0.94573,                0.37681,                 0.3607,                0.27194,                0.08777,                 2.3939,                  1.935,                 1.0093,              0.0058618,              0.0058618,              0.0058618
                    211,                 2.0082,                 1.4548,                0.94082,                0.36976,                0.37402,                0.27198,                0.08877,                  2.391,                 1.9315,                 1.0074,               0.005842,               0.005842,               0.005842
                    212,                 2.0283,                 1.4417,                0.94008,                0.37606,                0.37246,                0.26681,                0.08709,                 2.3967,                 1.9378,                 1.0086,              0.0058222,              0.0058222,              0.0058222
                    213,                 2.0138,                 1.4669,                0.93818,                0.37643,                0.38762,                0.27199,                0.08829,                 2.3934,                 1.9383,                 1.0101,              0.0058024,              0.0058024,              0.0058024
                    214,                 2.0084,                 1.4406,                0.94589,                0.37126,                0.36768,                0.26966,                0.08903,                 2.3925,                 1.9342,                 1.0099,              0.0057826,              0.0057826,              0.0057826
                    215,                 2.0158,                  1.454,                0.94222,                0.36536,                0.40286,                 0.2748,                0.08851,                 2.3978,                 1.9348,                 1.0085,              0.0057628,              0.0057628,              0.0057628
                    216,                 2.0094,                 1.4651,                0.93996,                0.37351,                0.39761,                0.27675,                0.08823,                 2.4049,                 1.9453,                 1.0091,               0.005743,               0.005743,               0.005743
                    217,                 2.0183,                 1.4591,                0.94157,                0.35437,                0.37599,                0.26438,                0.08607,                  2.394,                 1.9501,                 1.0078,              0.0057232,              0.0057232,              0.0057232
                    218,                 1.9997,                  1.431,                0.93832,                0.34302,                0.40662,                0.26908,                0.08591,                 2.3987,                 1.9451,                 1.0091,              0.0057034,              0.0057034,              0.0057034
                    219,                 2.0236,                 1.4542,                0.94175,                0.33034,                 0.3827,                 0.2625,                 0.0863,                 2.4041,                 1.9388,                 1.0105,              0.0056836,              0.0056836,              0.0056836
                    220,                 1.9982,                 1.4348,                0.93137,                0.33229,                0.37806,                0.25834,                0.08547,                 2.4055,                 1.9355,                 1.0131,              0.0056638,              0.0056638,              0.0056638
                    221,                 2.0253,                  1.452,                0.94707,                0.34373,                0.38727,                0.26167,                0.08426,                 2.4035,                 1.9264,                 1.0131,               0.005644,               0.005644,               0.005644
                    222,                 1.9967,                  1.433,                 0.9412,                0.33945,                  0.381,                0.26019,                 0.0858,                  2.404,                 1.9312,                 1.0137,              0.0056242,              0.0056242,              0.0056242
                    223,                 1.9828,                 1.4234,                0.93983,                0.34538,                  0.388,                0.26173,                0.08376,                 2.4064,                 1.9412,                 1.0133,              0.0056044,              0.0056044,              0.0056044
                    224,                 1.9989,                 1.4348,                0.93743,                0.35378,                 0.3756,                 0.2633,                0.08448,                 2.4109,                  1.939,                 1.0138,              0.0055846,              0.0055846,              0.0055846
                    225,                 1.9855,                 1.4264,                0.93668,                  0.326,                0.38425,                0.25376,                0.08292,                 2.4072,                 1.9305,                 1.0141,              0.0055648,              0.0055648,              0.0055648
                    226,                 1.9914,                 1.4254,                0.94361,                0.33846,                 0.3633,                0.25136,                 0.0822,                 2.4093,                 1.9421,                 1.0133,               0.005545,               0.005545,               0.005545
                    227,                 1.9912,                 1.4104,                0.93312,                0.34886,                 0.3567,                0.25383,                0.08302,                 2.4099,                 1.9458,                 1.0138,              0.0055252,              0.0055252,              0.0055252
                    228,                  1.994,                 1.4126,                0.93876,                0.34962,                0.35771,                0.25558,                0.08356,                 2.4239,                 1.9538,                 1.0173,              0.0055054,              0.0055054,              0.0055054
                    229,                 1.9932,                 1.4103,                0.93601,                0.35184,                0.35982,                0.25835,                0.08579,                 2.4238,                 1.9553,                 1.0163,              0.0054856,              0.0054856,              0.0054856
                    230,                  1.986,                 1.4078,                0.93838,                0.35117,                 0.3664,                0.25937,                0.08574,                 2.4227,                 1.9488,                  1.016,              0.0054658,              0.0054658,              0.0054658
                    231,                 1.9743,                 1.4104,                0.93478,                0.35161,                0.37437,                0.25871,                0.08418,                 2.4247,                 1.9458,                 1.0165,               0.005446,               0.005446,               0.005446
                    232,                 1.9678,                 1.3946,                0.93305,                0.35725,                0.37609,                0.26614,                 0.0851,                 2.4272,                 1.9456,                 1.0171,              0.0054262,              0.0054262,              0.0054262
